Nome de anuncio;Link;Preco;Data de Extração;Preco/m2;Rua/Local/Zona;ID;Freguesia;Municipio;Distrito;area util (m2);area bruta (m2);Tipologia;Ano;No Casas de Banho;Certificado Energetico;Condicao;Negociavel;Varanda;Ar Condicionado;Aspiracao Central;Vista de Campo/Serra;Lareira;Recuperacao de Calor;Suite;Despensa;Garagem (box);Arrecadacao;Vista de Mar;Vista de Rio;Cozinha Equipada;Aquecimento Central;Mobilado;Estacionamento;Condominio Fechado;Gas Canalizado;Piscina;Box;Elevador;Kitchenette;Marquise;Parqueamento;Piso Radiante;Terraco;Vista de Lago;Caldeira
b'T3 -Quinta da Piedade - P\xc3\xb3voa de Sta.Iria';https://www.imovirtual.com/pt/anuncio/t3-quinta-da-piedade-povoa-de-sta-iria-ID12EwD.html#0056a3a24b;159000;09/05/2021;1747; Quinta da Piedade;LisboaVila Franca de XiraPovoa de Santa Iria e Forte da Casa;Povoa de Santa Iria e Forte da Casa;VILA FRANCA DE XIRA;LISBOA;91;108;T3;1985;;E;Usado;s;s;s;;;;;;;;;;s;;;;;;s;;;s;;;;;;;
b'T2 com Garagem e vista do Rio Tejo na P\xc3\xb3voa Santa Iria 2\xc2\xba Fase';https://www.imovirtual.com/pt/anuncio/t2-com-garagem-e-vista-do-rio-tejo-na-povoa-santa-iria-2-fase-ID15nlf.html#07aeda23b4;189000;09/05/2021;2011; Quinta da Piedade;LisboaVila Franca de XiraPovoa de Santa Iria e Forte da Casa;Povoa de Santa Iria e Forte da Casa;VILA FRANCA DE XIRA;LISBOA;94;116;T2;2003;2;D;Usado;;s;;;;;;s;;;;;s;s;;;s;;s;;;s;;s;s;;;;
b'Apartamento T3- Casal da Serra- P\xc3\xb3voa de Santa Iria';https://www.imovirtual.com/pt/anuncio/apartamento-t3-casal-da-serra-povoa-de-santa-iria-ID15S8c.html#4fc66b52e1;254800;09/05/2021;2089; Urbanizacao Casal da Serra;LisboaVila Franca de XiraPovoa de Santa Iria e Forte da Casa;Povoa de Santa Iria e Forte da Casa;VILA FRANCA DE XIRA;LISBOA;122;122;T3;1997;2;C;Renovado;;s;;;;s;;s;;;s;;s;;;;;;;;s;s;;;s;;;;
b'Excelente T2 na P\xc3\xb3voa de Santa Iria com vista rio- garagem e arrecada\xc3\xa7';https://www.imovirtual.com/pt/anuncio/excelente-t2-na-povoa-de-santa-iria-com-vista-rio-garagem-e-arrecadac-ID15MiJ.html#a3f9c8902b;230000;09/05/2021;1811; Urbanizacao Casal da Serra;LisboaVila Franca de XiraPovoa de Santa Iria e Forte da Casa;Povoa de Santa Iria e Forte da Casa;VILA FRANCA DE XIRA;LISBOA;126;127;T2;1997;2;C;;;s;;;;s;;;;s;s;;;;;;;;s;;;s;;;;;;;
b'Apartamento de 3 assoalhadas- varandas e box- Urbaniza\xc3\xa7\xc3\xa3o do Gentil- V';https://www.imovirtual.com/pt/anuncio/apartamento-de-3-assoalhadas-varandas-e-box-urbanizacao-do-gentil-v-ID15IcE.html#ab89b5d2c9;179500;09/05/2021;1910; Urbanizacao Casal da Aboboreira;LisboaVila Franca de XiraVialonga;Vialonga;VILA FRANCA DE XIRA;LISBOA;94;123;T2;2003;1;C;;;s;;;;s;;;;s;;;;s;;;;;s;;;s;;;;;;;
b'Apartamento T3 | Vista Rio | Encosta do Moinho | Vialonga';https://www.imovirtual.com/pt/anuncio/apartamento-t3-vista-rio-encosta-do-moinho-vialonga-ID15MV6.html#f56f61364e;266500;09/05/2021;2478; Urbanizacao Casal da Aboboreira;LisboaVila Franca de XiraVialonga;Vialonga;VILA FRANCA DE XIRA;LISBOA;107;123;T3;2021;2;;Em construcao;;s;;;;;;s;;;;;s;;;;s;;;;;s;;;;;;;
b'Apartamento T3 | Vista Rio | Encosta do Moinho | Vialonga';https://www.imovirtual.com/pt/anuncio/apartamento-t3-vista-rio-encosta-do-moinho-vialonga-ID15HBR.html#cde74ec5bb;264000;09/05/2021;2455; Urbanizacao Casal da Aboboreira;LisboaVila Franca de XiraVialonga;Vialonga;VILA FRANCA DE XIRA;LISBOA;107;123;T3;2021;2;;Em construcao;;s;;;;;;s;;;;;s;;;;s;;;;;s;;;;;;;
b'Apartamento T3 | Encosta do Moinho | Vialonga';https://www.imovirtual.com/pt/anuncio/apartamento-t3-encosta-do-moinho-vialonga-ID15Hrc.html#f56b968f5e;257000;09/05/2021;2441; Urbanizacao Casal da Aboboreira;LisboaVila Franca de XiraVialonga;Vialonga;VILA FRANCA DE XIRA;LISBOA;105;121;T3;2021;2;;Em construcao;;s;;;;;;s;;;;;s;;;;s;;;;;s;;;;;;;
b'Apartamento T3 | Vista Rio | Encosta do Moinho | Vialonga';https://www.imovirtual.com/pt/anuncio/apartamento-t3-vista-rio-encosta-do-moinho-vialonga-ID15GUh.html#b44b21e484;269000;09/05/2021;2502; Urbanizacao Casal da Aboboreira;LisboaVila Franca de XiraVialonga;Vialonga;VILA FRANCA DE XIRA;LISBOA;107;123;T3;2021;2;;Em construcao;;s;;;;;;s;;;;;s;;;;s;;;;;s;;;;;;;
b'Apartamento T2 novo Vila Franca de Xira';https://www.imovirtual.com/pt/anuncio/apartamento-t2-novo-vila-franca-de-xira-ID10SEU.html#87a75daeaa;180000;09/05/2021;2022; Urbanizacao Casal da Aboboreira;LisboaVila Franca de XiraVialonga;Vialonga;VILA FRANCA DE XIRA;LISBOA;89;92;T2;2020;1;;Novo;;s;;;;;;;;;;;;;;;;;;;;s;;;;;;;
b'Apartamento T1 com 70m2 remodelado junto esta\xc3\xa7\xc3\xa3o CP Damaia';https://www.imovirtual.com/pt/anuncio/apartamento-t1-com-70m2-remodelado-junto-estacao-cp-damaia-ID14NJS.html#cfcacccacd;125000;09/05/2021;2011;Avenida Dom Joao V;LisboaAmadoraaguas Livres;aguas Livres;AMADORA;LISBOA;62;71;T1;1961;1;D;Renovado;;;;;;;;;;;;;;s;;;;;;;;;;s;;;;;
b'T2 Reboleira a 1 minuto a p\xc3\xa9 da esta\xc3\xa7\xc3\xa3o da Reboleira';https://www.imovirtual.com/pt/anuncio/t2-reboleira-a-1-minuto-a-pe-da-estacao-da-reboleira-ID15FAo.html#b44b21e484;140000;09/05/2021;1972;Rua Jose Estevao;LisboaAmadoraaguas Livres;aguas Livres;AMADORA;LISBOA;71;71;T2;1980;1;;Usado;;;;;;;;;;;;;;;;s;;;;;;;;;;;;;
b'Apartamento T3 em Alfragide';https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-alfragide-ID15wpz.html#479272ad9c;185000;09/05/2021;2151;Avenida Dom Luis I;LisboaAmadoraAlfragide;Alfragide;AMADORA;LISBOA;86;106;T3;1977;2;D;Usado;;;;;s;;;;s;;;;;s;;;;;s;;;;;;;;;;
b'T3 na Urbaniza\xc3\xa7\xc3\xa3o Neudel';https://www.imovirtual.com/pt/anuncio/t3-na-urbanizacao-neudel-ID15LTk.html#416b2c680e;340000;09/05/2021;2411;Estrada da Ponte;LisboaAmadoraAlfragide;Alfragide;AMADORA;LISBOA;141;141;T3;2021;2;A;Novo;;;;s;;;;s;;;s;;;s;s;;s;;;;;s;;;s;;;;
b'T2 na Urbaniza\xc3\xa7\xc3\xa3o Neudel';https://www.imovirtual.com/pt/anuncio/t2-na-urbanizacao-neudel-ID15LnA.html#dc9efdfbb1;260000;09/05/2021;2913;Estrada da Ponte;LisboaAmadoraAlfragide;Alfragide;AMADORA;LISBOA;89;89;T2;2021;2;A;Novo;;;;s;;;;s;;;s;;;s;s;;s;;;;;s;;;s;;;;
b'T3 Lisboa-Alfragide-Quinta Grande';https://www.imovirtual.com/pt/anuncio/t3-lisboa-alfragide-quinta-grande-ID122sP.html#8280d417af;295000;09/05/2021;2682;Alameda dos Moinhos;LisboaAmadoraAlfragide;Alfragide;AMADORA;LISBOA;110;138;T3;1984;2;C;;;;s;;;;;;;s;;;;s;s;;;;s;;;s;;;;;;;
b'Oportunidade - Fant\xc3\xa1stico T2 com garagem';https://www.imovirtual.com/pt/anuncio/oportunidade-fantastico-t2-com-garagem-ID15D3A.html#10d1984553;144000;09/05/2021;2441;Rua Bernardo Santareno;LisboaAmadoraEncosta do Sol;Encosta do Sol;AMADORA;LISBOA;59;71;T2;1993;1;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b'Reboleira- Excelente T1- Remodelado- Luminoso';https://www.imovirtual.com/pt/anuncio/reboleira-excelente-t1-remodelado-luminoso-ID15BPP.html#e49a85f12d;120000;09/05/2021;2000;Rua Correia Teles;LisboaAmadoraVenteira;Venteira;AMADORA;LISBOA;60;65;T1;1967;1;C;Renovado;s;;;;;;;;s;;;;;s;;;;;;;;s;s;;;;;;
b'Apartamento T3 para Venda na Amadora';https://www.imovirtual.com/pt/anuncio/apartamento-t3-para-venda-na-amadora-ID15wkJ.html#a795455305;220000;09/05/2021;2183;Rua Alexandre Herculano;LisboaAmadoraVenteira;Venteira;AMADORA;LISBOA;100;112;T3;1987;2;D;Usado;;s;;;;;;;s;;;;;;;;;;s;;;;;s;;;;;
b'Apartamento T2 na Venteira pr\xc3\xb3ximo de centro comercial Ba...';https://www.imovirtual.com/pt/anuncio/apartamento-t2-na-venteira-proximo-de-centro-comercial-ba-ID15glX.html#cda3110f69;149900;09/05/2021;2306;Rua Elias Garcia;LisboaAmadoraVenteira;Venteira;AMADORA;LISBOA;65;70;T2;1958;1;D;Usado;;;;;;;;;s;;;;;s;;;;;;;;;s;;;;;;
b'T2 na Amadora';https://www.imovirtual.com/pt/anuncio/t2-na-amadora-ID14xbL.html#3c850d3593;115000;09/05/2021;2556;Praca da Batalha;LisboaAmadoraVenteira;Venteira;AMADORA;LISBOA;45;45;T2;1972;1;C;Usado;;;s;;;;;;;;;;;;;;;;s;;;;;;;;;;
b'APARTAMENTO T1 I  ESPA\xc3\x87O PARA COM\xc3\x88RCIO COM 110M2  I OPORTUNIDADE';https://www.imovirtual.com/pt/anuncio/apartamento-t1-i-espaco-para-comrcio-com-110m2-i-oportunidade-ID13Ts5.html#65520fdcac;270000;09/05/2021;1598;Rua dos Prazeres;LisboaCascaisAlcabideche;Alcabideche;CASCAIS;LISBOA;169;169;T1;1951;4;D;;;s;;;;;;;;;s;;;s;;;;;s;;;;;;;;s;;
b'T3 novo na Quinta das Marianas';https://www.imovirtual.com/pt/anuncio/t3-novo-na-quinta-das-marianas-ID15Jvz.html#092e3a7501;530000;09/05/2021;3540;Bairro das Marianas;LisboaCascaisCarcavelos e Parede;Carcavelos e Parede;CASCAIS;LISBOA;146;149;T3;2021;3;A;Novo;;s;s;s;;;;s;;;;;;s;;;s;;;;;s;;;s;;;;
b'Magnif\xc3\xadco Apartamento T3 na Parede';https://www.imovirtual.com/pt/anuncio/magnifico-apartamento-t3-na-parede-ID15fSb.html#8cefca2da2;310000;09/05/2021;3605;Rua Jose Elias Garcia;LisboaCascaisCarcavelos e Parede;Carcavelos e Parede;CASCAIS;LISBOA;86;86;T3;1977;3;B;Renovado;;;s;;;;;s;;;;;;;;;;;;;;;;;;;;;
b'Apartamento com terra\xc3\xa7o no Estoril';https://www.imovirtual.com/pt/anuncio/apartamento-com-terraco-no-estoril-ID14con.html#7e088fa7b6;790000;09/05/2021;5302;Rua Dom Afonso Henriques;LisboaCascaisCascais e Estoril;Cascais e Estoril;CASCAIS;LISBOA;149;300;T3;2020;4;A;;;s;s;s;s;s;;s;s;s;s;;;s;s;;s;s;s;s;s;;;;;;s;;s
b'Alto da G\xc3\xa1vea - Condom\xc3\xadnio de luxo no Monte Estoril. (Em ...';https://www.imovirtual.com/pt/anuncio/alto-da-gavea-condominio-de-luxo-no-monte-estoril-em-ID15hWq.html#643dd99326;1750000;09/05/2021;6865;Avenida do Faial;LisboaCascaisCascais e Estoril;Cascais e Estoril;CASCAIS;LISBOA;254;254;T3;2020;4;;Em construcao;;;;;;;;s;;;;;;;;;s;s;;;;;;;;;;;
b'Estoril - Quinta da Graciosa - Excelente T3 em Condom\xc3\xadnio...';https://www.imovirtual.com/pt/anuncio/estoril-quinta-da-graciosa-excelente-t3-em-condominio-ID15bAG.html#20e0bfc541;395000;09/05/2021;3038;Rua Professor Doutor Manuel Eugenio Machado Macedo;LisboaCascaisCascais e Estoril;Cascais e Estoril;CASCAIS;LISBOA;130;135;T3;2003;2;C;Usado;;;;;;;;s;s;s;s;;;;;;s;s;s;s;;s;;;;;;;
b'T2 no Estoril com Box';https://www.imovirtual.com/pt/anuncio/t2-no-estoril-com-box-ID12ZqV.html#c9cbe7ff02;315000;09/05/2021;3621;Rua Professor Doutor Manuel Eugenio Machado Macedo;LisboaCascaisCascais e Estoril;Cascais e Estoril;CASCAIS;LISBOA;87;95;T2;2003;2;;Usado;;;;;;;s;s;s;s;s;;;s;;;;;;;;;;;;;;;
b'T1 S\xc3\xa3o Jo\xc3\xa3o do Estoril- junto \xc3\xa1 Esta\xc3\xa7\xc3\xa3o de comboios';https://www.imovirtual.com/pt/anuncio/t1-sao-joao-do-estoril-junto-a-estacao-de-comboios-ID155BV.html#aacd7229e4;198000;09/05/2021;4304;Rua Diogo Cao;LisboaCascaisCascais e Estoril;Cascais e Estoril;CASCAIS;LISBOA;46;46;T1;1979;1;;Renovado;;;;;;;;;s;;;;;s;;;;;;;;;s;;;;;;
b'Apartamento T1 no Centro da Ab\xc3\xb3boda- S\xc3\xa3o Domingos de Rana- Cascais';https://www.imovirtual.com/pt/anuncio/apartamento-t1-no-centro-da-aboboda-sao-domingos-de-rana-cascais-ID14G7f.html#4eb255c952;140000;09/05/2021;2059;Rua Cova do Coelho;LisboaCascaisSao Domingos de Rana;Sao Domingos de Rana;CASCAIS;LISBOA;68;84;T1;1992;1;;Usado;;;;;;;;;;;s;;;;;;;;;;;;;;;;;;
b'Apartamento T2 R/C E -C/ Piscina Rua de S\xc3\xa3o Francisco Xavier - Ab\xc3\xb3b...';https://www.imovirtual.com/pt/anuncio/apartamento-t2-r-c-e-c-piscina-rua-de-sao-francisco-xavier-abob-ID14Nrs.html#cb233e8be0;360000;09/05/2021;5070;Rua de Sao Francisco Xavier;LisboaCascaisSao Domingos de Rana;Sao Domingos de Rana;CASCAIS;LISBOA;71;625;T2;2020;2;;Em construcao;;;s;s;;;;s;s;s;s;;;s;;;s;;;s;;;;;;;;;
b'Apartamento T3 - Condom\xc3\xadnio Alc\xc3\xa2ntara Residence';https://www.imovirtual.com/pt/anuncio/apartamento-t3-condominio-alcantara-residence-ID13U8y.html#4e2162504c;735000;09/05/2021;6504;Rua Luis de Camoes;LisboaLisboaAlcantara;Alcantara;LISBOA;LISBOA;113;113;T3;2000;2;B;Usado;;;;;;s;;s;;;s;;;;;;;s;;s;s;s;;;;;;;
b'Alc\xc3\xa2ntara LX 55 - Novo empreendimento na cidade de Lisboa';https://www.imovirtual.com/pt/anuncio/alcantara-lx-55-novo-empreendimento-na-cidade-de-lisboa-ID15i34.html#5187b81291;620000;09/05/2021;6327;Travessa Teixeira Junior;LisboaLisboaAlcantara;Alcantara;LISBOA;LISBOA;98;100;T2;2021;3;I;;;;s;;;;;;;;;;;;;;;;;;;s;;;;;;;
b'T3 remodelado na Av. EUA- pr\xc3\xb3ximo da Av. de Roma';https://www.imovirtual.com/pt/anuncio/t3-remodelado-na-av-eua-proximo-da-av-de-roma-ID15RPz.html#70077e3e42;545000;09/05/2021;4542;Avenida dos Estados Unidos da America;LisboaLisboaAlvalade;Alvalade;LISBOA;LISBOA;120;130;T3;1966;2;;Renovado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b'T5 com generosa varanda em frente ao Jardim do Campo Grande';https://www.imovirtual.com/pt/anuncio/t5-com-generosa-varanda-em-frente-ao-jardim-do-campo-grande-ID13TT8.html#d1b680f507;1100000;09/05/2021;4583;Campo Grande;LisboaLisboaAlvalade;Alvalade;LISBOA;LISBOA;240;;T5;1994;3;C;Usado;s;s;;;;s;;s;s;;;;;;;;;;;;s;s;;;s;;;;
b'T4 no Areeiro';https://www.imovirtual.com/pt/anuncio/t4-no-areeiro-ID15fQj.html#cfcacccacd;770000;09/05/2021;4477;Rua Cristovao Falcao;LisboaLisboaAreeiro;Areeiro;LISBOA;LISBOA;172;204;T4;2006;3;B;;;s;s;;;s;;;;s;s;;;s;s;;s;;;;;s;;;;;;;
b'T3 no O\xc3\xa1sis 28- junto \xc3\xa0 Pra\xc3\xa7a Duque do Saldanha';https://www.imovirtual.com/pt/anuncio/t3-no-oasis-28-junto-a-praca-duque-do-saldanha-ID15CqI.html#8555813c74;1050000;09/05/2021;5899;Avenida Casal Ribeiro;LisboaLisboaArroios;Arroios;LISBOA;LISBOA;178;187;T3;2022;4;A;Em construcao;;s;s;;;;;s;;;s;;;s;;;s;;;;;s;s;;s;;;;
b'T1 Remodelado a estrear em Picoas';https://www.imovirtual.com/pt/anuncio/t1-remodelado-a-estrear-em-picoas-ID15xtZ.html#4a59476833;329900;09/05/2021;7331;Rua Tomas Ribeiro;LisboaLisboaArroios;Arroios;LISBOA;LISBOA;45;55;T1;1969;1;C;Renovado;;;s;;;;;;;;;;;s;;s;;;s;;;s;s;;;;;;
b'Apartamento T4 de Charme no Saldanha | VARANDA | 195-5 m2';https://www.imovirtual.com/pt/anuncio/apartamento-t4-de-charme-no-saldanha-varanda-195-5-m2-ID13UM8.html#423597221b;920000;09/05/2021;5111;Rua Actor Taborda;LisboaLisboaArroios;Arroios;LISBOA;LISBOA;180;;T4;1937;3;B;Renovado;;s;;;;;;s;s;;;;;;s;;;;s;;;s;;;;;;;
b'Apartamento T4 em Arroios \xc3\xa0 Av. Almirante Reis remodelado com enorme t';https://www.imovirtual.com/pt/anuncio/apartamento-t4-em-arroios-a-av-almirante-reis-remodelado-com-enorme-t-ID13URP.html#3eebf71728;450000;09/05/2021;5625;Rua Poeta Milton;LisboaLisboaArroios;Arroios;LISBOA;LISBOA;80;80;T4;1939;2;D;Renovado;s;s;;;;;;;s;;s;;;;;;;;s;;;;;;;;s;;
b'Apartamento T0 de 36 m\xc2\xb2 e com arrecada\xc3\xa7\xc3\xa3o nos Anjos';https://www.imovirtual.com/pt/anuncio/apartamento-t0-de-36-m-e-com-arrecadacao-nos-anjos-ID15O6v.html#04aa11f2fb;133000;09/05/2021;4156;Rua Maria;LisboaLisboaArroios;Arroios;LISBOA;LISBOA;32;36;T1;1980;1;D;;;;;;;;;;;;s;;;;;;;;;;;s;;;;;;;
b'T2 para habita\xc3\xa7\xc3\xa3o ou investimento';https://www.imovirtual.com/pt/anuncio/t2-para-habitacao-ou-investimento-ID14Opd.html#fde2677a73;297000;09/05/2021;4242,9;Rua Andrade;LisboaLisboaArroios;Arroios;LISBOA;LISBOA;70;;T2;1963;1;C;Usado;;;;;;;;;;;;;;;;;;;s;;;s;;;;;;;
b'Apartamento T4 \xc3\xa0 venda em Estef\xc3\xa2nia';https://www.imovirtual.com/pt/anuncio/apartamento-t4-a-venda-em-estefania-ID15tLR.html#1b648fbb2d;520000;09/05/2021;4000;Travessa Rebelo da Silva;LisboaLisboaArroios;Arroios;LISBOA;LISBOA;130;145;T4;1983;2;D;Renovado;;s;s;;;;;s;s;;;;;s;;;;;s;;;;;;;;s;;
b'T1 em edif\xc3\xadcio novo S\xc3\xa9culo XXI 16- junto \xc3\xa0 Av. da Rep\xc3\xbablica';https://www.imovirtual.com/pt/anuncio/t1-em-edificio-novo-seculo-xxi-16-junto-a-av-da-republica-ID137eA.html#c120de1701;395000;09/05/2021;6290;Avenida da Republica;LisboaLisboaAvenidas Novas;Avenidas Novas;LISBOA;LISBOA;62;68;T1;2022;1;A;Em construcao;;s;s;;;;;;;;;;;s;;;s;;;;;s;s;;s;;;;s
b'Esplendido T6 no Cora\xc3\xa7\xc3\xa3o de Lisboa em Pr\xc3\xa9dio com Dois Elevadores';https://www.imovirtual.com/pt/anuncio/esplendido-t6-no-coracao-de-lisboa-em-predio-com-dois-elevadores-ID15J9D.html#353a4d9ca3;980000;09/05/2021;4356;Rua da Cruz Vermelha;LisboaLisboaAvenidas Novas;Avenidas Novas;LISBOA;LISBOA;225;225;T6;1986;4;C;Usado;;;s;;;;;;s;;;;;;;;;;s;;;s;;;s;;;;
b'Apartamento T2 junto ao Mercado do Bairro do Rego';https://www.imovirtual.com/pt/anuncio/apartamento-t2-junto-ao-mercado-do-bairro-do-rego-ID154pC.html#25c4b4de04;250000;09/05/2021;3333;Rua Carlos Reis;LisboaLisboaAvenidas Novas;Avenidas Novas;LISBOA;LISBOA;75;75;T2;1956;1;;Usado;;;;;;;;;s;;s;;;;;;;;;;;;;;;;;;
b'Apartamento T1 Saldanha';https://www.imovirtual.com/pt/anuncio/apartamento-t1-saldanha-ID15POE.html#0c40c7a0f0;295000;09/05/2021;5364;Rua Pedro Nunes;LisboaLisboaAvenidas Novas;Avenidas Novas;LISBOA;LISBOA;55;62;T1;1974;1;;;;s;s;;;;;;;;;;;;;;;;s;;;s;s;;;;;;
b'T2 com terra\xc3\xa7o com 95 m2- no empreendimento Varino - Campo Pequeno';https://www.imovirtual.com/pt/anuncio/t2-com-terraco-com-95-m2-no-empreendimento-varino-campo-pequeno-ID15g67.html#c9cbe7ff02;785000;09/05/2021;6015;Avenida da Republica;LisboaLisboaAvenidas Novas;Avenidas Novas;LISBOA;LISBOA;130;130;T2;2020;2;A;Novo;;;s;;;;;s;;;s;;;s;;;s;;;;;s;s;;s;;s;;
b'T2 Benfica para remodelar ou com remodela\xc3\xa7\xc3\xa3o';https://www.imovirtual.com/pt/anuncio/t2-benfica-para-remodelar-ou-com-remodelacao-ID141kt.html#8280d417af;244900;09/05/2021;3768;Rua Doutor Joao de Barros;LisboaLisboaBenfica;Benfica;LISBOA;LISBOA;65;70;T2;1980;1;E;Para recuperar;s;s;;;;;;;;;;;;;;;s;;;;;s;;;;;;;
b'T3 em Benfica Junto a Avenida do Uruguai';https://www.imovirtual.com/pt/anuncio/t3-em-benfica-junto-a-avenida-do-uruguai-ID14OJB.html#1448d7b385;262000;09/05/2021;3082;Rua Coronel Santos Pedroso;LisboaLisboaBenfica;Benfica;LISBOA;LISBOA;85;87;T3;1976;2;C;;;s;;;;;;;;;;;;;;;;;;;;s;;;;;;;
b'Apartamento T3 em Benfica- em otimo condom\xc3\xadnio fechado';https://www.imovirtual.com/pt/anuncio/apartamento-t3-em-benfica-em-otimo-condominio-fechado-ID1556W.html#9cb06ba5cc;550000;09/05/2021;3667;Rua Emilia das Neves;LisboaLisboaBenfica;Benfica;LISBOA;LISBOA;150;160;T3;2006;2;B;Usado;;s;s;s;;;s;s;s;s;s;;;;s;;s;s;s;s;;s;;;;;;;s
b'Apartamento T4 Benfica';https://www.imovirtual.com/pt/anuncio/apartamento-t4-benfica-ID14Ro0.html#bcb4bc16b2;435000;09/05/2021;3321;Rua Ary dos Santos;LisboaLisboaBenfica;Benfica;LISBOA;LISBOA;131;151;T4;1992;3;D;;;;;;;;;;;s;s;;;;;;;;;;;s;;;;;;;
b'T3 Benfica remodelado';https://www.imovirtual.com/pt/anuncio/t3-benfica-remodelado-ID15MyE.html#bdceb640a6;295000;09/05/2021;4155;Rua Maria Pimentel Montenegro;LisboaLisboaBenfica;Benfica;LISBOA;LISBOA;71;75;T3;1969;2;;Renovado;;;;;;;;;s;;;;;;;;;;;;;s;s;;;;;;
b'T3 COM ELEVADOR- GARAGEM E ARRECADA\xc3\x87\xc3\x83O EM CAMPO DE OURIQUE JUNTO AO LA';https://www.imovirtual.com/pt/anuncio/t3-com-elevador-garagem-e-arrecadacao-em-campo-de-ourique-junto-ao-la-ID14IDZ.html#9db3659f3e;545000;09/05/2021;5619;Rua Dom Dinis;LisboaLisboaCampo de Ourique;Campo de Ourique;LISBOA;LISBOA;97;;T3;1985;2;C;Usado;;;;;;;;;s;;;;;;;;;;s;;;s;;;s;;;;
b'Apartamento T2+1 em Campo de Ourique com vista sobre Monsanto';https://www.imovirtual.com/pt/anuncio/apartamento-t2-1-em-campo-de-ourique-com-vista-sobre-monsanto-ID1515c.html#8d454684c0;267500;09/05/2021;4385;Rua Maria Pia;LisboaLisboaCampo de Ourique;Campo de Ourique;LISBOA;LISBOA;61;63;T3;1927;1;;Renovado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
b'Apartamento T1 na Lapa com jardim de 42m2';https://www.imovirtual.com/pt/anuncio/apartamento-t1-na-lapa-com-jardim-de-42m2-ID15hUK.html#5187b81291;730000;09/05/2021;9825;Rua do Olival;LisboaLisboaEstrela;Estrela;LISBOA;LISBOA;74;85;T1;2021;1;B;Novo;;s;;;;;;;;;s;;;;;;;;;;;s;;;;;;;
b'Apartamento T2 em Lisboa no condom\xc3\xadnio fechado';https://www.imovirtual.com/pt/anuncio/apartamento-t2-em-lisboa-no-condominio-fechado-ID13Noq.html#d803690d92;900000;09/05/2021;7826;Rua da Lapa;LisboaLisboaEstrela;Estrela;LISBOA;LISBOA;115;122;T2;2020;2;A;Novo;;s;s;s;;;;s;s;s;s;;;;s;;s;s;;s;;s;s;;;;;;s
b'T3 Renovado Alugado  Investimento de 7% - Alta de Lisboa';https://www.imovirtual.com/pt/anuncio/t3-renovado-alugado-investimento-de-7-alta-de-lisboa-ID115aK.html#9eeab0d9a7;219000;09/05/2021;2738;Rua Maria Albertina;LisboaLisboaLumiar;Lumiar;LISBOA;LISBOA;80;95;T3;2004;2;D;Renovado;s;;;;;;;s;s;;;;;s;;;;;s;;;s;;;;;;s;
b'Im\xc3\xb3vel da Banca - T2 na Quinta de S\xc3\xa3o Sebasti\xc3\xa3o com Terra...';https://www.imovirtual.com/pt/anuncio/imovel-da-banca-t2-na-quinta-de-sao-sebastiao-com-terra-ID150Mv.html#206079bc66;790000;09/05/2021;4931;Estrada do Paco do Lumiar;LisboaLisboaLumiar;Lumiar;LISBOA;LISBOA;160;160;T2;2011;3;C;Usado;;;;;;;;s;;s;s;;;;;;;;;s;;;;;;;s;;
b'APARTAMENTO DUPLEX DE 4 ASSOALHADAS  |  RUA PROF. JO\xc3\x83O BARREIRA  | TEL';https://www.imovirtual.com/pt/anuncio/apartamento-duplex-de-4-assoalhadas-rua-prof-joao-barreira-tel-ID15wPK.html#dace215783;399999;09/05/2021;4819;Rua Professor Joao Barreira;LisboaLisboaLumiar;Lumiar;LISBOA;LISBOA;83;83;T3;1984;2;C;Usado;;;;;;;;;;;s;;;;;;;s;s;;;s;;;s;;;;
b'T5 Lumiar';https://www.imovirtual.com/pt/anuncio/t5-lumiar-ID14wZI.html#d0f47f8c30;490000;09/05/2021;2800;Praca Rainha Santa;LisboaLisboaLumiar;Lumiar;LISBOA;LISBOA;175;177;T5;1967;3;;Usado;;;;;;;;s;;;;;;;;;;;;;;s;;;;;;;
b'Apartamento de 5 assoalhadas para venda em condom\xc3\xadnio fechado no Lumia';https://www.imovirtual.com/pt/anuncio/apartamento-de-5-assoalhadas-para-venda-em-condominio-fechado-no-lumia-ID15EQ2.html#7f89d99539;780000;09/05/2021;5865;Rua Luis Pastor de Macedo;LisboaLisboaLumiar;Lumiar;LISBOA;LISBOA;133;204;T4;2010;3;B;Usado;;;s;;;;;s;;;s;;;;;;;s;s;s;;s;;;;;;;
b'Apartamento T2 totalmente remodelado com acabamentos de luxo - Lumiar';https://www.imovirtual.com/pt/anuncio/apartamento-t2-totalmente-remodelado-com-acabamentos-de-luxo-lumiar-ID13UJc.html#f3340a42a7;290000;09/05/2021;3085;Rua Andre Gouveia;LisboaLisboaLumiar;Lumiar;LISBOA;LISBOA;94;111;T2;1977;1;D;Renovado;;s;;;s;;;;;;;;;s;;;s;;s;;;s;;;s;;;;
